[0.021s] Invoking command in '/home/oscar/ros2_ws_2402/build/f112th_sim_2402_bravo': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake /home/oscar/ros2_ws_2402/src/f112th_sim_2402_bravo -DAMENT_CMAKE_SYMLINK_INSTALL=1 -DCMAKE_INSTALL_PREFIX=/home/oscar/ros2_ws_2402/install/f112th_sim_2402_bravo
[0.052s] -- Found ament_cmake: 1.3.9 (/opt/ros/humble/share/ament_cmake/cmake)
[0.214s] -- Override CMake install command with custom implementation using symlinks instead of copying resources
[0.234s] -- Found ament_lint_auto: 0.12.11 (/opt/ros/humble/share/ament_lint_auto/cmake)
[0.338s] -- Added test 'copyright' to check source files copyright and LICENSE
[0.363s] -- Added test 'flake8' to check Python code syntax and style conventions
[0.368s] -- Added test 'lint_cmake' to check CMake code style
[0.369s] -- Added test 'pep257' to check Python code against some of the docstring style conventions in PEP 257
[0.384s] -- Added test 'xmllint' to check XML markup files
[0.387s] -- Configuring done
[0.394s] -- Generating done
[0.396s] -- Build files have been written to: /home/oscar/ros2_ws_2402/build/f112th_sim_2402_bravo
[0.400s] Invoked command in '/home/oscar/ros2_ws_2402/build/f112th_sim_2402_bravo' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake /home/oscar/ros2_ws_2402/src/f112th_sim_2402_bravo -DAMENT_CMAKE_SYMLINK_INSTALL=1 -DCMAKE_INSTALL_PREFIX=/home/oscar/ros2_ws_2402/install/f112th_sim_2402_bravo
[0.403s] Invoking command in '/home/oscar/ros2_ws_2402/build/f112th_sim_2402_bravo': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --build /home/oscar/ros2_ws_2402/build/f112th_sim_2402_bravo -- -j8 -l8
[0.462s] Invoked command in '/home/oscar/ros2_ws_2402/build/f112th_sim_2402_bravo' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --build /home/oscar/ros2_ws_2402/build/f112th_sim_2402_bravo -- -j8 -l8
[0.513s] Invoking command in '/home/oscar/ros2_ws_2402/build/f112th_sim_2402_bravo': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --install /home/oscar/ros2_ws_2402/build/f112th_sim_2402_bravo
[0.525s] -- Install configuration: ""
[0.530s] -- Up-to-date symlink: /home/oscar/ros2_ws_2402/install/f112th_sim_2402_bravo/share/f112th_sim_2402_bravo/environment/ament_prefix_path.dsv
[0.530s] -- Up-to-date symlink: /home/oscar/ros2_ws_2402/install/f112th_sim_2402_bravo/share/f112th_sim_2402_bravo/environment/path.sh
[0.530s] -- Up-to-date symlink: /home/oscar/ros2_ws_2402/install/f112th_sim_2402_bravo/share/f112th_sim_2402_bravo/environment/path.dsv
[0.530s] -- Up-to-date symlink: /home/oscar/ros2_ws_2402/install/f112th_sim_2402_bravo/share/f112th_sim_2402_bravo/local_setup.bash
[0.530s] -- Up-to-date symlink: /home/oscar/ros2_ws_2402/install/f112th_sim_2402_bravo/share/f112th_sim_2402_bravo/local_setup.sh
[0.531s] -- Up-to-date symlink: /home/oscar/ros2_ws_2402/install/f112th_sim_2402_bravo/share/f112th_sim_2402_bravo/local_setup.zsh
[0.531s] -- Up-to-date symlink: /home/oscar/ros2_ws_2402/install/f112th_sim_2402_bravo/share/f112th_sim_2402_bravo/local_setup.dsv
[0.531s] -- Symlinking: /home/oscar/ros2_ws_2402/install/f112th_sim_2402_bravo/share/f112th_sim_2402_bravo/package.dsv
[0.544s] -- Up-to-date symlink: /home/oscar/ros2_ws_2402/install/f112th_sim_2402_bravo/share/ament_index/resource_index/packages/f112th_sim_2402_bravo
[0.544s] -- Up-to-date symlink: /home/oscar/ros2_ws_2402/install/f112th_sim_2402_bravo/share/f112th_sim_2402_bravo/cmake/f112th_sim_2402_bravoConfig.cmake
[0.544s] -- Up-to-date symlink: /home/oscar/ros2_ws_2402/install/f112th_sim_2402_bravo/share/f112th_sim_2402_bravo/cmake/f112th_sim_2402_bravoConfig-version.cmake
[0.545s] -- Up-to-date symlink: /home/oscar/ros2_ws_2402/install/f112th_sim_2402_bravo/share/f112th_sim_2402_bravo/package.xml
[0.548s] Invoked command in '/home/oscar/ros2_ws_2402/build/f112th_sim_2402_bravo' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --install /home/oscar/ros2_ws_2402/build/f112th_sim_2402_bravo
